candidate_id,rank,score,reasoning
CAND_0044222,13,0.7108,"7.7 years as AI Engineer at PolicyBazaar; strong JD fit on search engineering, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 41d ago, 60% recruiter response rate. Concern(s): location is Vizag, Andhra Pradesh."
CAND_0050876,14,0.7074,"6 years as Applied ML Engineer at Freshworks; strong JD fit on embedding/retrieval, core ML, vector DB/search infra (4/8 must-have skill groups matched). Open to work, active 30d ago, 67% recruiter response rate. Concern(s): location is Kolkata, West Bengal; notice period is 90 days."
CAND_0041669,15,0.7054,"8 years as Recommendation Systems Engineer at CRED; strong JD fit on embedding/retrieval, ranking/IR, core ML (4/8 must-have skill groups matched). Open to work, active 80d ago, 77% recruiter response rate."
CAND_0052328,16,0.7047,"6.5 years as Recommendation Systems Engineer at Amazon; strong JD fit on search engineering, embedding/retrieval, core ML (5/8 must-have skill groups matched). Open to work, active 86d ago, 79% recruiter response rate, notice 30d."
CAND_0040887,17,0.7030,"4.7 years as Machine Learning Engineer at Netflix; strong JD fit on core ML, vector DB/search infra, Python (3/8 must-have skill groups matched). Open to work, active 32d ago, 84% recruiter response rate, notice 15d. Concern(s): location is Toronto, Canada."
CAND_0029367,18,0.7013,"5.7 years as Senior Data Scientist at Rephrase.ai; strong JD fit on search engineering, embedding/retrieval, core ML (5/8 must-have skill groups matched). Open to work, active 36d ago, 77% recruiter response rate. Concern(s): notice period is 90 days."
CAND_0044855,19,0.6989,"6.6 years as Senior Data Scientist at Flipkart; strong JD fit on search engineering, embedding/retrieval, ranking/IR (6/8 must-have skill groups matched). Not marked open-to-work but profile active 62d ago; response rate 57%. Concern(s): location is Coimbatore, Tamil Nadu; open_to_work not set."
CAND_0030031,20,0.6961,"5.7 years as AI Engineer at Microsoft; strong JD fit on search engineering, embedding/retrieval, ranking/IR (7/8 must-have skill groups matched). Not marked open-to-work but profile active 34d ago; response rate 94%. Concern(s): location is Trivandrum, Kerala; open_to_work not set."
CAND_0069905,21,0.6959,"6.6 years as Applied ML Engineer at Sarvam AI; strong JD fit on embedding/retrieval, core ML, vector DB/search infra (4/8 must-have skill groups matched). Open to work, active 65d ago, 78% recruiter response rate. Concern(s): location is Bhubaneswar, Odisha; notice period is 90 days."
CAND_0075249,22,0.6942,"6.2 years as Applied ML Engineer at Zomato; strong JD fit on embedding/retrieval, ranking/IR, core ML (4/8 must-have skill groups matched). Open to work, active 77d ago, 82% recruiter response rate. Concern(s): location is Ahmedabad, Gujarat."
CAND_0086022,23,0.6904,"5.3 years as Senior Applied Scientist at Sarvam AI; strong JD fit on search engineering, embedding/retrieval, core ML (5/8 must-have skill groups matched). Open to work, last active 71d ago; response rate 55%. Concern(s): location is Kolkata, West Bengal."
CAND_0076163,24,0.6903,"6.9 years as NLP Engineer at Ola; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 46d ago, 84% recruiter response rate. Concern(s): location is Chandigarh, Chandigarh."
CAND_0002025,25,0.6882,"5.9 years as Senior AI Engineer at Apple; strong JD fit on embedding/retrieval, core ML, vector DB/search infra (5/8 must-have skill groups matched). Open to work, active 30d ago, 80% recruiter response rate, notice 30d. Concern(s): location is Trivandrum, Kerala."
CAND_0070398,26,0.6878,"7.2 years as Machine Learning Engineer at Genpact AI; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 72d ago); strong response rate 60% (6/8 must-haves matched). Gaps/concerns: location is Kochi, Kerala; notice period is 120 days."
CAND_0093912,27,0.6871,"5.3 years as Senior Data Scientist at Razorpay; partial skill match on search engineering, embedding/retrieval; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 45d ago); strong response rate 66% (3/8 must-haves matched). Gaps/concerns: location is Chandigarh, Chandigarh."
CAND_0052682,28,0.6861,"6.6 years as NLP Engineer at Aganitha; partial skill match on embedding/retrieval, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 89d ago); strong response rate 88% (4/8 must-haves matched). Gaps/concerns: location is Vizag, Andhra Pradesh."
CAND_0081846,29,0.6852,"6.7 years as Lead AI Engineer at Razorpay; partial skill match on search engineering, embedding/retrieval; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 53d ago); strong response rate 73% (6/8 must-haves matched). Gaps/concerns: location is Jaipur, Rajasthan."
CAND_0074735,30,0.6830,"5.5 years as Applied ML Engineer at Rephrase.ai; partial skill match on search engineering, embedding/retrieval; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 89d ago); strong response rate 77% (6/8 must-haves matched). Gaps/concerns: location is Chandigarh, Chandigarh; notice period is 90 days."
CAND_0041610,31,0.6818,"6.7 years as Recommendation Systems Engineer at Zoho; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 42d ago) (4/8 must-haves matched). Gaps/concerns: location is Indore, Madhya Pradesh."
CAND_0055992,32,0.6789,"16.9 years as AI Engineer at CRED; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 89d ago); strong response rate 72% (5/8 must-haves matched). Gaps/concerns: location is Sydney, Australia."
CAND_0096142,33,0.6764,"5 years as Applied ML Engineer at upGrad; partial skill match on ranking/IR, vector DB/search infra; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 35d ago); strong response rate 84% (4/8 must-haves matched). Gaps/concerns: notice period is 120 days."
CAND_0007412,34,0.6758,"7.4 years as Applied ML Engineer at Zoho; partial skill match on ranking/IR, core ML; nice-to-have: MLOps; relevant title trajectory; open to work (active 67d ago); strong response rate 76% (4/8 must-haves matched). Gaps/concerns: notice period is 120 days."
CAND_0008425,35,0.6726,"7.8 years as Senior NLP Engineer at Ola; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 61d ago); strong response rate 66% (6/8 must-haves matched). Gaps/concerns: location is Kolkata, West Bengal; notice period is 90 days."
CAND_0095528,36,0.6717,"5.3 years as Senior Data Scientist at Netflix; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 53d ago) (6/8 must-haves matched). Gaps/concerns: location is Indore, Madhya Pradesh; no GitHub linked."
CAND_0065878,37,0.6667,"7.8 years as Senior Data Scientist at Niramai; partial skill match on search engineering, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 94d ago) (4/8 must-haves matched). Gaps/concerns: location is Trivandrum, Kerala; no GitHub linked."
CAND_0087630,38,0.6642,"7.2 years as AI Engineer at Vedantu; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: learning-to-rank; relevant title trajectory (5/8 must-haves matched). Gaps/concerns: profile inactive for ~101 days."
CAND_0005260,39,0.6640,"5.2 years as Senior NLP Engineer at Netflix; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; strong response rate 86% (6/8 must-haves matched). Gaps/concerns: location is Chennai, Tamil Nadu; open_to_work not set; no GitHub linked."
CAND_0000031,40,0.6632,"6 years as Recommendation Systems Engineer at Swiggy; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: MLOps; relevant title trajectory; open to work (active 32d ago); strong response rate 91% (4/8 must-haves matched). No major concerns flagged; lower rank reflects partial JD coverage."
CAND_0009024,41,0.6621,"5.2 years as Search Engineer at Google; partial skill match on core ML, vector DB/search infra; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 77d ago) (2/8 must-haves matched). Gaps/concerns: location is Chennai, Tamil Nadu."
CAND_0012957,42,0.6613,"4.9 years as Search Engineer at Razorpay; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; strong response rate 67% (6/8 must-haves matched). Gaps/concerns: location is Chennai, Tamil Nadu; notice period is 120 days; open_to_work not set."
CAND_0043228,43,0.6571,"6.8 years as Applied ML Engineer at Zoho; partial skill match on search engineering, embedding/retrieval; nice-to-have: learning-to-rank; relevant title trajectory (5/8 must-haves matched). Gaps/concerns: location is Chennai, Tamil Nadu; open_to_work not set."
CAND_0081686,44,0.6555,"6 years as Search Engineer at Netflix; partial skill match on embedding/retrieval, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; strong response rate 91% (4/8 must-haves matched). Gaps/concerns: location is Austin, USA; open_to_work not set."
CAND_0009691,45,0.6554,"6.2 years as Applied ML Engineer at LinkedIn; partial skill match on embedding/retrieval, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 40d ago); strong response rate 64% (3/8 must-haves matched). Gaps/concerns: location is Indore, Madhya Pradesh; notice period is 120 days."
CAND_0054123,46,0.6553,"4.7 years as Applied ML Engineer at Meta; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; strong response rate 87% (4/8 must-haves matched). Gaps/concerns: open_to_work not set."
CAND_0088025,47,0.6546,"8.6 years as Staff Machine Learning Engineer at Yellow.ai; partial skill match on ranking/IR, core ML; nice-to-have: learning-to-rank; relevant title trajectory; open to work (active 42d ago); strong response rate 83% (5/8 must-haves matched). Gaps/concerns: location is Jaipur, Rajasthan; notice period is 90 days."
CAND_0010257,48,0.6502,"6.5 years as Senior Data Scientist at Google; partial skill match on core ML, vector DB/search infra; nice-to-have: MLOps; relevant title trajectory; open to work (active 43d ago); strong response rate 72% (3/8 must-haves matched). Gaps/concerns: notice period is 120 days."
CAND_0079064,49,0.6492,"5.2 years as Senior Data Scientist at Niramai; partial skill match on embedding/retrieval, vector DB/search infra; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 73d ago); strong response rate 91% (3/8 must-haves matched). Gaps/concerns: notice period is 120 days."
CAND_0075439,50,0.6479,"4.3 years as Machine Learning Engineer at Flipkart; partial skill match on search engineering, embedding/retrieval; nice-to-have: learning-to-rank; relevant title trajectory (4/8 must-haves matched). Gaps/concerns: location is Vizag, Andhra Pradesh; open_to_work not set."
CAND_0030953,51,0.6476,"7.8 years as Search Engineer at Nykaa; partial skill match on vector DB/search infra, NLP/LLM; nice-to-have: learning-to-rank; relevant title trajectory; strong response rate 63% (3/8 must-haves matched). Gaps/concerns: location is Chennai, Tamil Nadu; open_to_work not set."
CAND_0024466,52,0.6464,"5.2 years as Search Engineer at PharmEasy; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 34d ago) (5/8 must-haves matched). Gaps/concerns: location is Toronto, Canada; notice period is 120 days; no GitHub linked."
CAND_0039754,53,0.6434,"16.2 years as Senior Applied Scientist at Meta; partial skill match on ranking/IR, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 42d ago); strong response rate 81% (5/8 must-haves matched). Gaps/concerns: location is Indore, Madhya Pradesh."
CAND_0005649,54,0.6405,"7.4 years as Senior Data Scientist at Sarvam AI; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 72d ago) (5/8 must-haves matched). Gaps/concerns: notice period is 90 days."
CAND_0068811,55,0.6404,"8 years as Applied ML Engineer at Freshworks; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 35d ago) (4/8 must-haves matched). No major concerns flagged; lower rank reflects partial JD coverage."
CAND_0037944,56,0.6382,"4.9 years as Senior Data Scientist at Vedantu; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 95d ago) (7/8 must-haves matched). Gaps/concerns: location is Jaipur, Rajasthan."
CAND_0037566,57,0.6361,"6.9 years as Machine Learning Engineer at LinkedIn; partial skill match on ranking/IR, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 66d ago) (4/8 must-haves matched). No major concerns flagged; lower rank reflects partial JD coverage."
CAND_0099806,58,0.6345,"4.6 years as AI Engineer at Mad Street Den; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 51d ago); strong response rate 76% (5/8 must-haves matched). Gaps/concerns: location is Bhubaneswar, Odisha."
CAND_0051004,59,0.6341,"4.7 years as Senior Data Scientist at CRED; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 51d ago) (4/8 must-haves matched). No major concerns flagged; lower rank reflects partial JD coverage."
CAND_0033445,60,0.6325,"6.8 years as ML Engineer at Vedantu; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: MLOps; relevant title trajectory; open to work (active 30d ago); strong response rate 94% (4/8 must-haves matched). Gaps/concerns: location is Ahmedabad, Gujarat; no GitHub linked."
CAND_0070202,61,0.6321,"5.1 years as Machine Learning Engineer at BYJU'S; partial skill match on embedding/retrieval, ranking/IR; nice-to-have: learning-to-rank; relevant title trajectory; strong response rate 60% (5/8 must-haves matched). Gaps/concerns: location is Jaipur, Rajasthan; notice period is 90 days; open_to_work not set; no GitHub linked."
CAND_0060054,62,0.6318,"6.4 years as AI Engineer at Mad Street Den; partial skill match on embedding/retrieval, core ML; nice-to-have: MLOps; relevant title trajectory; strong response rate 86% (3/8 must-haves matched). Gaps/concerns: location is Jaipur, Rajasthan; profile inactive for ~100 days; no GitHub linked."
CAND_0074225,63,0.6312,"4.3 years as Machine Learning Engineer at Unacademy; partial skill match on search engineering, embedding/retrieval; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 36d ago); strong response rate 91% (5/8 must-haves matched). Gaps/concerns: location is Vizag, Andhra Pradesh; notice period is 120 days."
CAND_0078002,64,0.6308,"6.3 years as Machine Learning Engineer at Meta; partial skill match on core ML, vector DB/search infra; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 65d ago); strong response rate 86% (3/8 must-haves matched). Gaps/concerns: location is Coimbatore, Tamil Nadu."
CAND_0017960,65,0.6306,"7.7 years as Recommendation Systems Engineer at Nykaa; partial skill match on ranking/IR, core ML; nice-to-have: LLM fine-tuning; relevant title trajectory; open to work (active 59d ago); strong response rate 72% (4/8 must-haves matched). No major concerns flagged; lower rank reflects partial JD coverage."
CAND_0047721,66,0.6291,"7 years as Senior Data Scientist at Microsoft (4/8 must-have groups). Concerns: location is Coimbatore, Tamil Nadu; notice period is 90 days; open_to_work not set. Included because: has ranking/IR exposure; relevant keywords in career descriptions; 7 years total experience."
CAND_0045250,67,0.6279,6.6 years as Applied ML Engineer at Rephrase.ai (6/8 must-have groups). Concerns: open_to_work not set; no GitHub linked. Included because: has search engineering exposure; 6.6 years total experience.
CAND_0032515,68,0.6273,"5.1 years as Machine Learning Engineer at PharmEasy (5/8 must-have groups). Concerns: location is Seattle, USA; open_to_work not set. Included because: has search engineering exposure; relevant keywords in career descriptions; 5.1 years total experience."
CAND_0041568,69,0.6271,"5.2 years as Search Engineer at Haptik (5/8 must-have groups). Concerns: location is Sydney, Australia; notice period is 90 days; no GitHub linked. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (52% response rate); 5.2 years total experience."
CAND_0018722,70,0.6258,"6.6 years as Recommendation Systems Engineer at Saarthi.ai (3/8 must-have groups). Concerns: location is Toronto, Canada; notice period is 90 days. Included because: has core ML exposure; relevant keywords in career descriptions; engaged (79% response rate); 6.6 years total experience."
CAND_0049538,71,0.6239,"5.8 years as Applied ML Engineer at Saarthi.ai (4/8 must-have groups). Concerns: location is Jaipur, Rajasthan; open_to_work not set. Included because: has search engineering exposure; relevant keywords in career descriptions; 5.8 years total experience."
CAND_0027801,72,0.6235,7.4 years as NLP Engineer at InMobi (3/8 must-have groups). Concerns: notice period is 120 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (65% response rate); 7.4 years total experience.
CAND_0057563,73,0.6234,"6.8 years as NLP Engineer at Locobuzz (3/8 must-have groups). Concerns: location is Indore, Madhya Pradesh; open_to_work not set. Included because: has core ML exposure; relevant keywords in career descriptions; 6.8 years total experience."
CAND_0030348,74,0.6233,4.5 years as Machine Learning Engineer at BYJU'S (5/8 must-have groups). Concerns: no GitHub linked. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (54% response rate).
CAND_0015578,75,0.6232,5.4 years as AI Engineer at Zoho (5/8 must-have groups). Concerns: notice period is 90 days. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (65% response rate); 5.4 years total experience.
CAND_0053695,76,0.6230,"5.8 years as Recommendation Systems Engineer at Meesho (3/8 must-have groups). Concerns: location is Bhubaneswar, Odisha. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (60% response rate); 5.8 years total experience."
CAND_0005538,77,0.6226,"5.9 years as Senior AI Engineer at Adobe (4/8 must-have groups). Concerns: location is Kolkata, West Bengal; notice period is 90 days. Included because: has core ML exposure; relevant keywords in career descriptions; engaged (81% response rate); 5.9 years total experience."
CAND_0086151,78,0.6219,"7.7 years as Recommendation Systems Engineer at Wysa (4/8 must-have groups). Concerns: location is Vizag, Andhra Pradesh; notice period is 120 days. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (52% response rate); 7.7 years total experience."
CAND_0061339,79,0.6215,"4.2 years as Search Engineer at Rephrase.ai (4/8 must-have groups). Concerns: location is Chandigarh, Chandigarh; notice period is 90 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (90% response rate)."
CAND_0084819,80,0.6213,"4.5 years as Search Engineer at Dream11 (4/8 must-have groups). Concerns: location is Indore, Madhya Pradesh; notice period is 120 days. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (74% response rate)."
CAND_0039838,81,0.6207,"4.9 years as Recommendation Systems Engineer at Amazon (4/8 must-have groups). Concerns: location is Kochi, Kerala; notice period is 90 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (80% response rate)."
CAND_0010685,82,0.6206,"6.7 years as NLP Engineer at Rephrase.ai (4/8 must-have groups). Concerns: location is Kolkata, West Bengal; no GitHub linked. Included because: has ranking/IR exposure; relevant keywords in career descriptions; engaged (83% response rate); 6.7 years total experience."
CAND_0061265,83,0.6204,6.6 years as Recommendation Systems Engineer at Zoho (3/8 must-have groups). Concerns: notice period is 120 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (94% response rate); 6.6 years total experience.
CAND_0095619,84,0.6199,15.6 years as NLP Engineer at Nykaa (5/8 must-have groups). Profile has weak JD alignment. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (90% response rate); 15.6 years total experience.
CAND_0026532,85,0.6192,"4.8 years as Recommendation Systems Engineer at Zomato (3/8 must-have groups). Concerns: location is Chennai, Tamil Nadu; notice period is 90 days. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (52% response rate)."
CAND_0020708,86,0.6186,"4.2 years as Search Engineer at PolicyBazaar (5/8 must-have groups). Concerns: location is Indore, Madhya Pradesh. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (84% response rate)."
CAND_0006418,87,0.6184,5.7 years as Machine Learning Engineer at Verloop.io (3/8 must-have groups). Profile has weak JD alignment. Included because: has embedding/retrieval exposure; engaged (92% response rate); 5.7 years total experience.
CAND_0051292,88,0.6183,"5.2 years as Applied ML Engineer at Freshworks (3/8 must-have groups). Concerns: location is Trivandrum, Kerala. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (52% response rate); 5.2 years total experience."
CAND_0007009,89,0.6163,7.9 years as Recommendation Systems Engineer at Wysa (5/8 must-have groups). Profile has weak JD alignment. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (62% response rate); 7.9 years total experience.
CAND_0040117,90,0.6161,"6.5 years as Recommendation Systems Engineer at PhonePe (4/8 must-have groups). Concerns: location is Vizag, Andhra Pradesh; no GitHub linked. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (66% response rate); 6.5 years total experience."
CAND_0070485,91,0.6149,"6.4 years as Search Engineer at Saarthi.ai (3/8 must-have groups). Concerns: location is Coimbatore, Tamil Nadu; notice period is 120 days. Included because: has ranking/IR exposure; relevant keywords in career descriptions; 6.4 years total experience."
CAND_0016163,92,0.6141,6.7 years as Applied ML Engineer at Dream11 (3/8 must-have groups). Concerns: notice period is 120 days. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (72% response rate); 6.7 years total experience.
CAND_0064904,93,0.6138,4.9 years as AI Engineer at LinkedIn (5/8 must-have groups). Concerns: notice period is 90 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (78% response rate).
CAND_0075574,94,0.6135,5.7 years as Machine Learning Engineer at Haptik (4/8 must-have groups). Profile has weak JD alignment. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (58% response rate); 5.7 years total experience.
CAND_0076831,95,0.6127,4 years as Search Engineer at Krutrim (4/8 must-have groups). Concerns: notice period is 90 days. Included because: has ranking/IR exposure; relevant keywords in career descriptions; engaged (50% response rate).
CAND_0066999,96,0.6124,5.9 years as Recommendation Systems Engineer at Microsoft (4/8 must-have groups). Profile has weak JD alignment. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (63% response rate); 5.9 years total experience.
CAND_0083307,97,0.6120,"7.8 years as Search Engineer at CRED (5/8 must-have groups). Concerns: location is Vizag, Andhra Pradesh; notice period is 120 days. Included because: has search engineering exposure; relevant keywords in career descriptions; engaged (70% response rate); 7.8 years total experience."
CAND_0050454,98,0.6113,6.8 years as AI Engineer at Rephrase.ai (4/8 must-have groups). Concerns: no GitHub linked. Included because: has ranking/IR exposure; relevant keywords in career descriptions; engaged (77% response rate); 6.8 years total experience.
CAND_0058688,99,0.6111,"6.7 years as AI Engineer at Vedantu (4/8 must-have groups). Concerns: location is Berlin, Germany. Included because: has embedding/retrieval exposure; relevant keywords in career descriptions; engaged (74% response rate); 6.7 years total experience."
CAND_0089552,100,0.6093,"6 years as Machine Learning Engineer at Netflix (5/8 must-have groups). Concerns: location is Kolkata, West Bengal; notice period is 120 days; open_to_work not set. Included because: has search engineering exposure; relevant keywords in career descriptions; 6 years total experience."
